dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1687071041,1,117.103264,36.257072,0.000000,4.735568,0.063173,0.000000,0,1,1527.604098
1686902627,1,117.019019,36.666837,0.000000,12.297452,0.000000,0.000000,0,1,31.509388
1687071042,1,117.103272,36.257075,0.000000,4.648206,0.003399,0.000000,0,1,1529.119065
1687071097,1,117.103272,36.257142,0.000000,4.780955,0.006337,0.000000,0,1,1531.140103
1687067639,1,117.098717,36.255525,0.000000,4.350745,0.000000,0.000000,0,1,1436.242816
1687067291,1,117.097808,36.255680,0.000000,4.751666,0.006595,0.000000,0,1,1425.686147
1686968884,1,117.009361,36.660667,0.000000,15.065965,0.000000,0.000000,0,1,32.532259
1686973654,1,117.026192,36.663345,0.000000,8.187676,0.000000,0.000000,0,1,35.476905
1687067651,1,117.098708,36.255570,0.000000,4.742369,0.000000,0.000000,0,1,1439.473445
1687069874,1,117.104058,36.256633,0.000000,6.572783,0.034204,0.000000,0,1,1505.025014
1687073320,1,117.093483,36.257070,0.000000,4.765517,1.116591,0.000000,0,1,1244.233750
1687073242,1,117.096681,36.257503,0.000000,23.352967,0.799760,0.000000,0,1,1292.302306
1686967701,1,117.010553,36.660920,0.000000,14.239477,0.036153,0.000000,0,1,33.069374
1687499406,1,118.594222,32.148608,0.000000,35.000000,0.000000,0.000000,0,1,10.669938
1686967687,1,117.010553,36.660903,0.000000,8.307956,0.000000,0.000000,0,1,33.494088
1687069872,1,117.104058,36.256650,0.000000,10.063628,0.000000,0.000000,0,1,1504.878832
1686967918,1,117.010492,36.660855,0.000000,15.543705,0.011465,0.000000,0,1,33.945365
1686899760,1,117.028481,36.662120,0.000000,18.737448,0.000000,0.000000,0,1,35.649518
1687067273,1,117.097808,36.255658,0.000000,4.340201,0.007226,0.000000,0,1,1425.174684
1687069798,1,117.103814,36.256608,0.000000,26.497283,0.000000,0.000000,0,1,1503.041639
1687073613,1,117.081100,36.255480,0.000000,34.285965,0.940064,0.000000,0,1,936.100671
1687069869,1,117.104042,36.256650,0.000000,11.120874,0.000000,0.000000,0,1,1488.003156
1686968689,1,117.009644,36.660570,0.000000,14.249546,0.000000,0.000000,0,1,30.301391
1687067261,1,117.097800,36.255670,0.000000,4.454274,0.030594,0.000000,0,1,1423.227036
1686967511,1,117.010819,36.661045,0.000000,21.135239,0.000000,0.000000,0,1,33.477090
1686990857,1,117.107025,36.205830,0.000000,35.000000,0.000000,0.000000,0,1,204.207717
1686899154,1,117.027314,36.662328,0.000000,9.291069,0.040003,0.000000,0,1,34.773136
1686966165,1,117.009889,36.659472,0.000000,7.706100,0.000000,0.000000,0,1,33.477864
1686968692,1,117.009644,36.660570,0.000000,14.249924,0.000000,0.000000,0,1,30.301391
1687067654,1,117.098725,36.255572,0.000000,4.741359,0.000000,0.000000,0,1,1440.114306
1687499407,1,118.594222,32.148608,0.000000,35.000000,0.000000,0.000000,0,1,10.669938
1686969871,1,117.009497,36.660070,0.000000,28.134463,0.000000,0.000000,0,1,33.420977
1686968629,1,117.009767,36.660717,0.000000,35.000000,0.000000,0.000000,0,1,31.595920
1687070644,1,117.103347,36.256997,0.000000,4.642154,0.026214,0.000000,0,1,1530.700840
1686884101,1,117.008492,36.665592,0.000000,51.552471,0.000000,0.000000,0,1,34.705693
1686827636,1,117.031442,36.661312,0.000000,35.824804,0.000000,0.000000,0,1,49.747901
1686827791,1,117.031342,36.661370,0.000000,35.000000,0.000000,0.000000,0,1,49.775584
1680190464,1,118.753363,32.079242,0.000000,35.000000,0.000000,0.000000,0,1,20.671652
1686877785,1,117.026428,36.674880,0.000000,40.000000,0.000000,0.000000,0,1,33.473137
1686827510,1,117.031364,36.661347,0.000000,35.000000,0.000000,0.000000,0,1,49.415729
1686825962,1,117.030633,36.660145,0.000000,48.000000,0.000000,0.000000,0,1,46.468359
1686884260,1,117.008247,36.665112,0.000000,9.872734,0.000000,0.000000,0,1,31.511268
1677064740,1,118.751738,32.080192,0.000000,1414.000000,0.000000,0.000000,0,1,14.058074
1686884832,1,117.009353,36.664562,0.000000,6.941697,0.189468,0.000000,0,1,30.771241
1686827789,1,117.031342,36.661370,0.000000,35.000000,0.000000,0.000000,0,1,49.775584
1686827968,1,117.031395,36.661330,0.000000,35.000000,0.000000,0.000000,0,1,49.325479
1686875864,1,117.022308,36.673203,0.000000,7.412765,0.000000,0.000000,0,1,26.625306
1686827394,1,117.031280,36.661383,0.000000,40.000000,0.000000,0.000000,0,1,49.106396
1679655518,1,118.768730,32.073172,0.000000,35.000000,0.000000,0.000000,0,1,42.224064
1679655522,1,118.768738,32.073083,0.000000,35.000000,0.000000,0.000000,0,1,42.191528
1686879316,1,117.024461,36.675787,0.000000,14.257592,0.766933,0.000000,0,1,27.289671
1677482275,1,118.752088,32.079228,0.000000,35.000000,0.000000,0.000000,0,1,28.011761
1686825959,1,117.030633,36.660145,0.000000,48.000000,0.000000,0.000000,0,1,46.468359
1677063552,1,118.752258,32.080436,0.000000,35.000000,0.000000,0.000000,0,1,13.837973
1686884175,1,117.008383,36.665222,0.000000,21.521617,0.000000,0.000000,0,1,29.601834
1686878494,1,117.025711,36.674945,0.000000,14.303529,0.000000,0.000000,0,1,29.647206
1679655516,1,118.768730,32.073172,0.000000,35.000000,0.000000,0.000000,0,1,42.224064
1677063901,1,118.752237,32.080594,0.000000,35.000000,0.000000,0.000000,0,1,13.746522
1686825968,1,117.030533,36.659687,0.000000,39.117909,0.000000,0.000000,0,1,45.420250
1686829095,1,117.031333,36.661372,0.000000,35.000000,0.000000,0.000000,0,1,49.775532
1686827278,1,117.031364,36.661328,0.000000,35.000000,0.000000,0.000000,0,1,49.721662
1686879791,1,117.019517,36.673563,0.000000,5.778432,0.784470,0.000000,0,1,24.244951
1686899062,1,117.027847,36.662380,0.000000,21.255611,0.000000,0.000000,0,1,35.475394
1686877921,1,117.025733,36.674697,0.000000,36.663759,0.419903,0.000000,0,1,29.944215
1677745036,1,118.751822,32.079800,0.000000,1414.000000,0.000000,0.000000,0,1,24.963785
1686876163,1,117.022942,36.672938,0.000000,14.486214,0.079883,0.000000,0,1,28.125970
1686829097,1,117.031356,36.661337,0.000000,95.333333,0.000000,0.000000,0,1,49.766980
1686881160,1,117.021089,36.676925,0.000000,45.012041,0.000000,0.000000,0,1,67.163230
1686827275,1,117.031342,36.661350,0.000000,35.000000,0.000000,0.000000,0,1,49.582994
1686883715,1,117.009619,36.666203,0.000000,15.180534,0.000000,0.000000,0,1,34.745572
1686827507,1,117.031350,36.661367,0.000000,35.000000,0.000000,0.000000,0,1,49.766899
1686878061,1,117.026161,36.674870,0.000000,14.726027,0.156734,0.000000,0,1,30.221460
1686827639,1,117.031442,36.661312,0.000000,35.824804,0.000000,0.000000,0,1,49.747901
1686877052,1,117.026328,36.674653,0.000000,21.843820,0.000000,0.000000,0,1,28.334541
1686829100,1,117.031380,36.661338,0.000000,35.000000,0.000000,0.000000,0,1,49.762201
1686879138,1,117.027703,36.675172,0.000000,9.446275,0.612844,0.000000,0,1,15.876742
1677064890,1,118.752258,32.080405,0.000000,35.000000,0.000000,0.000000,0,1,13.746964
1686876067,1,117.023139,36.672847,0.000000,78.308779,0.000000,0.000000,0,1,29.245313
1686884258,1,117.008325,36.665100,0.000000,20.945771,0.000000,0.000000,0,1,31.511080
1686879147,1,117.027664,36.675412,0.000000,3.431255,0.748231,0.000000,0,1,27.383713
1686877775,1,117.026436,36.674878,0.000000,40.000000,0.000000,0.000000,0,1,32.480267
1686827069,1,117.031372,36.661358,0.000000,35.000000,0.000000,0.000000,0,1,49.392611
1686879286,1,117.025322,36.675717,0.000000,14.259467,0.649362,0.000000,0,1,29.950936
1677745042,1,118.751822,32.079800,0.000000,1414.000000,0.000000,0.000000,0,1,24.963785
1686825658,1,117.029961,36.660122,0.000000,22.159149,0.000000,0.000000,0,1,45.455171
1686876170,1,117.022964,36.672913,0.000000,14.294205,0.153222,0.000000,0,1,28.105721
1677063463,1,118.752267,32.080600,0.000000,35.000000,0.000000,0.000000,0,1,13.735764
1686884830,1,117.009347,36.664605,0.000000,12.169620,0.421055,0.000000,0,1,31.591779
1686878196,1,117.026070,36.674880,0.000000,14.404781,0.049349,0.000000,0,1,30.125249
1677063647,1,118.752312,32.080314,0.000000,35.000000,0.000000,0.000000,0,1,13.756768
1686827382,1,117.031342,36.661383,0.000000,35.000000,0.000000,0.000000,0,1,49.770526
1674825407,1,118.753355,32.079225,0.000000,10.000000,0.000000,0.000000,0,1,35.735962
1674825384,1,118.753350,32.079228,0.000000,10.000000,0.039683,0.000000,0,1,28.707764
1671372578,1,118.753363,32.079311,0.000000,10.000000,0.000000,0.000000,0,1,45.039429
1674825371,1,118.753363,32.079217,0.000000,10.000000,0.000000,0.000000,0,1,25.673584
1671352423,1,118.753328,32.079220,0.000000,35.000000,0.000000,0.000000,0,1,16.675484
1671874379,1,118.753188,32.079231,0.000000,30.000000,0.000000,0.000000,0,1,22.038757
1674825401,1,118.753355,32.079225,0.000000,10.000000,0.000000,0.000000,0,1,35.159912
1674825357,1,118.753363,32.079217,0.000000,10.000000,0.000000,0.000000,0,1,24.177246
1674825376,1,118.753363,32.079217,0.000000,10.000000,0.000000,0.000000,0,1,25.491089
1671874373,1,118.753363,32.079314,0.000000,35.000000,0.000000,0.000000,0,1,16.156643
1674825367,1,118.753363,32.079217,0.000000,10.000000,0.000000,0.000000,0,1,26.754639
1674825380,1,118.753363,32.079217,0.000000,10.000000,0.000000,0.000000,0,1,26.486328
1671352156,1,118.753333,32.079278,0.000000,35.000000,0.000000,0.000000,0,1,17.656691
1672659475,1,118.753342,32.079175,0.000000,35.000000,0.000000,0.000000,0,1,17.762791
1673170754,1,118.753350,32.079314,0.000000,35.000000,0.000000,0.000000,0,1,16.536182
1674825387,1,118.753342,32.079231,0.000000,10.000000,0.000000,0.000000,0,1,30.566162
1674825361,1,118.753363,32.079217,0.000000,10.000000,0.000000,0.000000,0,1,26.255066
1672658723,1,118.753355,32.079250,0.000000,35.000000,0.000000,0.000000,0,1,16.945078
1674825397,1,118.753355,32.079225,0.000000,10.000000,0.000000,0.000000,0,1,36.405518
1672971546,1,118.751830,32.079283,0.000000,50.635880,0.000000,0.000000,0,1,28.389584
1651907974,1,118.751725,32.078847,0.000000,40.000000,0.000000,0.000000,0,1,18.033377
1651900609,1,118.751617,32.078036,0.000000,35.079600,0.000000,0.000000,0,1,27.565601
1651560166,1,118.752250,32.079197,0.000000,35.000000,0.000000,0.000000,0,1,21.879837
1651900589,1,118.751647,32.078053,0.000000,40.000000,0.000000,0.000000,0,1,27.503946
1688875325,1,115.799453,31.202845,0.000000,35.000000,0.000000,0.000000,0,1,492.992037
1688908323,1,117.496825,30.658175,0.000000,39.000000,0.000000,0.000000,0,1,15.743926
1688908538,1,117.496895,30.658188,0.000000,39.000000,0.000000,0.000000,0,1,15.821970
1689945414,1,118.897963,31.911275,0.000000,24.199578,0.000000,0.000000,0,1,20.582859
1690204104,1,118.897950,31.911187,0.000000,21.043701,0.000000,0.000000,0,1,19.470296
